Date,Month,Channel,Campaign,Device,Visitors,Leads,Qualified_Leads,Proposals,Customers,Avg_Deal_Value,Revenue,Ad_Spend,ROI_%
2024-10-20,2024-10,Referral,Newsletter,Desktop,232,126,83,60,38,1027,39026,1689.66,2209.7
2024-07-06,2024-07,Paid Ads,Brand Awareness,Mobile,337,100,45,16,6,1604,9624,3115.0,209.0
2024-11-03,2024-11,Paid Ads,Retargeting,Desktop,441,127,57,20,7,1227,8589,1310.64,555.3
2024-06-02,2024-06,Paid Ads,Newsletter,Desktop,276,68,26,10,3,1279,3837,2076.04,84.8
2024-07-17,2024-07,Paid Ads,Retargeting,Desktop,158,44,15,6,2,1763,3526,785.4,348.9
2024-04-08,2024-04,Paid Ads,Summer Sale,Mobile,127,38,15,5,2,1024,2048,624.72,227.8
2024-03-09,2024-03,Organic Search,Retargeting,Mobile,439,119,58,30,11,676,7436,3254.65,128.5
2024-03-03,2024-03,Paid Ads,Product Launch,Mobile,464,130,52,20,8,897,7176,1599.0,348.8
2024-04-06,2024-04,Paid Ads,Product Launch,Mobile,380,92,40,16,5,1338,6690,944.84,608.1
2024-08-09,2024-08,Referral,Brand Awareness,Mobile,271,119,85,59,36,1286,46296,3320.1,1294.4
2024-05-06,2024-05,Email Campaign,Retargeting,Desktop,109,51,32,18,7,698,4886,1342.32,264.0
2024-07-17,2024-07,Email Campaign,Retargeting,Mobile,453,216,121,59,34,222,7548,4685.04,61.1
2024-03-07,2024-03,Social Media,Brand Awareness,Tablet,305,52,20,6,1,1424,1424,386.36,268.6
2024-12-26,2024-12,Paid Ads,Product Launch,Mobile,274,81,31,14,5,298,1490,1150.2,29.5
2024-05-26,2024-05,Paid Ads,Retargeting,Desktop,410,99,35,16,6,1522,9132,3733.29,144.6
2024-07-29,2024-07,Paid Ads,Brand Awareness,Tablet,377,95,35,13,4,591,2364,3777.2,-37.4
2024-11-23,2024-11,Organic Search,Newsletter,Desktop,489,151,85,47,18,666,11988,1593.05,652.5
2024-11-21,2024-11,Paid Ads,Summer Sale,Tablet,330,79,35,16,5,1760,8800,504.81,1643.2
2024-02-10,2024-02,Social Media,Retargeting,Mobile,387,73,24,8,2,225,450,955.57,-52.9
